"","learn_rate","max_depth","sample_rate","col_sample_rate","train_AUC","val_AUC"
"228",0.01,5,0.9,0.8,0.997390672479852,0.952777777777778
"229",0.01,5,0.9,0.9,0.996703659664421,0.956623931623932
"230",0.01,5,0.9,1,0.996617783062492,0.957051282051282
"231",0.01,5,1,0.1,0.996214823622671,0.965598290598291
"232",0.01,5,1,0.2,0.99722552516845,0.964316239316239
"233",0.01,5,1,0.3,0.997430307834589,0.958760683760684
"234",0.01,5,1,0.4,0.998077685295284,0.956623931623932
"235",0.01,5,1,0.5,0.997826661381953,0.957051282051282
"236",0.01,5,1,0.6,0.997892720306514,0.953418803418803
"237",0.01,5,1,0.7,0.997476549081781,0.953632478632479
"238",0.01,5,1,0.8,0.997582243361078,0.954059829059829
"239",0.01,5,1,0.9,0.996406394503897,0.954700854700855
"240",0.01,5,1,1,0.995772228828115,0.950213675213675
"241",0.01,6,0.5,0.1,0.99275333597569,0.961752136752137
"242",0.01,6,0.5,0.2,0.994404809089708,0.959615384615385
"243",0.01,6,0.5,0.3,0.993446954683578,0.954273504273504
"244",0.01,6,0.5,0.4,0.993631919672348,0.957692307692308
"245",0.01,6,0.5,0.5,0.993783855198837,0.95491452991453
"246",0.01,6,0.5,0.6,0.993400713436385,0.956623931623932
"247",0.01,6,0.5,0.7,0.993532831285507,0.954700854700855
"248",0.01,6,0.5,0.8,0.993116660060774,0.952564102564103
"249",0.01,6,0.5,0.9,0.99176245210728,0.946794871794872
"250",0.01,6,0.5,1,0.990936715550271,0.950854700854701
"251",0.01,6,0.6,0.1,0.993731008059189,0.965384615384615
"252",0.01,6,0.6,0.2,0.995719381688466,0.953846153846154
"253",0.01,6,0.6,0.3,0.995098427797595,0.960470085470086
"254",0.01,6,0.6,0.4,0.99475492138988,0.956410256410256
"255",0.01,6,0.6,0.5,0.994305720702867,0.952350427350427
"256",0.01,6,0.6,0.6,0.99438499141234,0.95
"257",0.01,6,0.6,0.7,0.99475492138988,0.948076923076923
"258",0.01,6,0.6,0.8,0.994503897476549,0.95042735042735
"259",0.01,6,0.6,0.9,0.993195930770247,0.953632478632479
"260",0.01,6,0.6,1,0.992931695072004,0.953418803418803
"261",0.01,6,0.7,0.1,0.996208217730215,0.961752136752137
"262",0.01,6,0.7,0.2,0.996512088783195,0.961965811965812
"263",0.01,6,0.7,0.3,0.996591359492667,0.955128205128205
"264",0.01,6,0.7,0.4,0.996723477341789,0.961324786324786
"265",0.01,6,0.7,0.5,0.996313912009512,0.948504273504273
"266",0.01,6,0.7,0.6,0.996307306117056,0.948504273504273
"267",0.01,6,0.7,0.7,0.996214823622671,0.952991452991453
"268",0.01,6,0.7,0.8,0.996353547364249,0.951709401709402
"269",0.01,6,0.7,0.9,0.995534416699696,0.954487179487179
"270",0.01,6,0.7,1,0.99530981635619,0.95534188034188
"271",0.01,6,0.8,0.1,0.996657418417228,0.96517094017094
"272",0.01,6,0.8,0.2,0.996697053771965,0.959615384615385
